LED3_2,,LED3_3,,LED3_4,,LED3_5,,LED3_6,,LED3_7,,LED3_8,,LED3_9,,LED3_10,,LED3_11,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
200,0.1017345712,200,0.2034691423,200,0.2034691423,200,0.3052037358,200,15.56538963,200,4.67979002,200,0.2034691423,200,0.2543364167,200,0.3560710251,200,0.6104074717,
200.9299927,0.05086728558,200.9299927,0.05086728558,200.9299927,0.2034691423,200.9299927,0.3560710251,200.9299927,13.98850441,200.9299927,5.035861492,200.9299927,0.2034691423,200.9299927,0.3560710251,200.9299927,0.3560710251,200.9299927,0.5595401525,
202.0299988,0.05086728558,202.0299988,0.1017345712,202.0299988,0.1526018679,202.0299988,0.6612747312,202.0299988,14.54804325,202.0299988,4.984993935,202.0299988,0.1526018679,202.0299988,0.2034691423,202.0299988,0.3560710251,202.0299988,0.4069382846,
202.9600067,0.1526018679,202.9600067,0.2034691423,202.9600067,0.05086728558,202.9600067,0.5086728334,202.9600067,14.14110565,202.9600067,5.188463211,202.9600067,0.2543364167,202.9600067,0.3560710251,202.9600067,0.3052037358,202.9600067,0.5595401525,
204.0599976,0.1017345712,204.0599976,0.2034691423,204.0599976,0.2034691423,204.0599976,0.3052037358,204.0599976,14.34457493,204.0599976,4.67979002,204.0599976,0.2543364167,204.0599976,0.3052037358,204.0599976,0.4578055739,204.0599976,0.7121420503,
205,0.1017345712,205,0.1526018679,205,0.2034691423,205,0.4578055739,205,15.00584888,205,4.730657578,205,0.2543364167,205,0.3560710251,205,0.4069382846,205,0.9156111479,
205.9299927,0.1017345712,205.9299927,0.1526018679,205.9299927,0.2034691423,205.9299927,0.4069382846,205.9299927,15.31105328,205.9299927,5.08672905,205.9299927,0.2543364167,205.9299927,0.2543364167,205.9299927,0.4069382846,205.9299927,0.6104074717,
207.0299988,0.1017345712,207.0299988,0.1017345712,207.0299988,0.2034691423,207.0299988,0.5086728334,207.0299988,15.46365452,207.0299988,4.628923416,207.0299988,0.3052037358,207.0299988,0.2034691423,207.0299988,0.3052037358,207.0299988,0.6104074717,
207.9600067,0.1526018679,207.9600067,0.05086728558,207.9600067,0.2034691423,207.9600067,0.3052037358,207.9600067,15.76885986,207.9600067,5.239330769,207.9600067,0.3052037358,207.9600067,0.2543364167,207.9600067,0.3560710251,207.9600067,0.7630093098,
